"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Pankaj Singh",2010,"Royal Challengers Bangalore",81,2,48,"All","All","All",40.5,10.125
"Pankaj Singh",2011,"Rajasthan Royals",23,0,12,"All","All","All",Inf,11.5
"Pankaj Singh",2012,"Rajasthan Royals",170,7,126,"All","All","All",24.2857142857143,8.09523809523809
"Pardeep Sahu",2016,"Punjab Kings",146,3,105,"All","All","All",48.6666666666667,8.34285714285714
"Parvez Rasool",2013,"Pune Warriors",28,1,30,"All","All","All",28,5.6
"Parvez Rasool",2014,"Sunrisers Hyderabad",83,1,54,"All","All","All",83,9.22222222222222
"Parvez Rasool",2015,"Sunrisers Hyderabad",31,1,30,"All","All","All",31,6.2
"Parvez Rasool",2016,"Royal Challengers Bangalore",129,1,84,"All","All","All",129,9.21428571428572
"Parvinder Awana",2012,"Punjab Kings",372,17,282,"All","All","All",21.8823529411765,7.91489361702128
"Parvinder Awana",2013,"Punjab Kings",410,15,324,"All","All","All",27.3333333333333,7.59259259259259
"Parvinder Awana",2014,"Punjab Kings",245,7,141,"All","All","All",35,10.4255319148936
"Pat Cummins",2014,"Kolkata Knight Riders",29,1,24,"All","All","All",29,7.25
"Pat Cummins",2015,"Kolkata Knight Riders",97,1,60,"All","All","All",97,9.7
"Pat Cummins",2017,"Delhi Capitals",373,15,277,"All","All","All",24.8666666666667,8.07942238267148
"Pat Cummins",2020,"Kolkata Knight Riders",409,12,312,"All","All","All",34.0833333333333,7.86538461538461
"Pat Cummins",2021,"Kolkata Knight Riders",237,9,161,"All","All","All",26.3333333333333,8.83229813664596
"Pat Cummins",2022,"Kolkata Knight Riders",212,7,119,"All","All","All",30.2857142857143,10.6890756302521
"Paul Collingwood",2010,"Delhi Capitals",101,5,89,"All","All","All",20.2,6.80898876404494
"Paul Valthaty",2011,"Punjab Kings",189,7,145,"All","All","All",27,7.82068965517241
"Paul Valthaty",2012,"Punjab Kings",16,0,6,"All","All","All",Inf,16
"Pawan Negi",2012,"Delhi Capitals",152,7,132,"All","All","All",21.7142857142857,6.90909090909091
"Pawan Negi",2013,"Delhi Capitals",28,0,24,"All","All","All",Inf,7
"Pawan Negi",2014,"Chennai Super Kings",75,0,42,"All","All","All",Inf,10.7142857142857
"Pawan Negi",2015,"Chennai Super Kings",252,6,180,"All","All","All",42,8.4
"Pawan Negi",2016,"Delhi Capitals",84,1,54,"All","All","All",84,9.33333333333333
"Pawan Negi",2017,"Royal Challengers Bangalore",197,17,193,"All","All","All",11.5882352941176,6.12435233160622
"Pawan Negi",2018,"Royal Challengers Bangalore",49,1,24,"All","All","All",49,12.25
"Pawan Negi",2019,"Royal Challengers Bangalore",102,3,67,"All","All","All",34,9.13432835820895
"Pawan Suyal",2013,"Mumbai Indians",21,1,18,"All","All","All",21,7
"Pawan Suyal",2014,"Mumbai Indians",35,1,18,"All","All","All",35,11.6666666666667
"Pawan Suyal",2015,"Mumbai Indians",95,0,60,"All","All","All",Inf,9.5
"Piyush Chawla",2008,"Punjab Kings",389,17,281,"All","All","All",22.8823529411765,8.30604982206406
"Piyush Chawla",2009,"Punjab Kings",308,12,269,"All","All","All",25.6666666666667,6.86988847583643
"Piyush Chawla",2010,"Punjab Kings",367,12,294,"All","All","All",30.5833333333333,7.48979591836735
"Piyush Chawla",2011,"Punjab Kings",336,16,248,"All","All","All",21,8.12903225806452
"Piyush Chawla",2012,"Punjab Kings",419,16,342,"All","All","All",26.1875,7.35087719298246
"Piyush Chawla",2013,"Punjab Kings",418,11,350,"All","All","All",38,7.16571428571429
"Piyush Chawla",2014,"Kolkata Knight Riders",303,14,237,"All","All","All",21.6428571428571,7.67088607594937
"Piyush Chawla",2015,"Kolkata Knight Riders",269,11,210,"All","All","All",24.4545454545455,7.68571428571429
"Piyush Chawla",2016,"Kolkata Knight Riders",273,11,212,"All","All","All",24.8181818181818,7.72641509433962
"Piyush Chawla",2017,"Kolkata Knight Riders",179,6,120,"All","All","All",29.8333333333333,8.95
"Piyush Chawla",2018,"Kolkata Knight Riders",412,14,294,"All","All","All",29.4285714285714,8.40816326530612
"Piyush Chawla",2019,"Kolkata Knight Riders",399,10,267,"All","All","All",39.9,8.96629213483146
"Piyush Chawla",2020,"Chennai Super Kings",191,6,126,"All","All","All",31.8333333333333,9.09523809523809
"Piyush Chawla",2021,"Mumbai Indians",38,1,24,"All","All","All",38,9.5
"Pradeep Sangwan",2008,"Delhi Capitals",215,5,144,"All","All","All",43,8.95833333333333
"Pradeep Sangwan",2009,"Delhi Capitals",360,15,280,"All","All","All",24,7.71428571428572
"Pradeep Sangwan",2010,"Delhi Capitals",258,9,186,"All","All","All",28.6666666666667,8.32258064516129
"Pradeep Sangwan",2012,"Kolkata Knight Riders",42,1,24,"All","All","All",42,10.5
"Pradeep Sangwan",2013,"Kolkata Knight Riders",51,0,24,"All","All","All",Inf,12.75
"Pradeep Sangwan",2016,"Gujarat Lions",49,0,24,"All","All","All",Inf,12.25
"Pradeep Sangwan",2017,"Gujarat Lions",181,5,108,"All","All","All",36.2,10.0555555555556
"Pradeep Sangwan",2018,"Mumbai Indians",19,0,12,"All","All","All",Inf,9.5
"Pradeep Sangwan",2022,"Gujarat Titans",65,3,54,"All","All","All",21.6666666666667,7.22222222222222
"Pragyan Ojha",2008,"Deccan Chargers",284,11,222,"All","All","All",25.8181818181818,7.67567567567568
"Pragyan Ojha",2009,"Deccan Chargers",348,18,321,"All","All","All",19.3333333333333,6.50467289719626
"Pragyan Ojha",2010,"Deccan Chargers",429,21,353,"All","All","All",20.4285714285714,7.29178470254958
"Pragyan Ojha",2011,"Deccan Chargers",267,10,221,"All","All","All",26.7,7.24886877828054
"Pragyan Ojha",2012,"Mumbai Indians",220,9,180,"All","All","All",24.4444444444444,7.33333333333333
"Pragyan Ojha",2013,"Mumbai Indians",381,16,314,"All","All","All",23.8125,7.28025477707006
"Pragyan Ojha",2014,"Mumbai Indians",380,4,276,"All","All","All",95,8.26086956521739
"Pragyan Ojha",2015,"Mumbai Indians",23,0,12,"All","All","All",Inf,11.5
"Prasanth Parameswaran",2011,"Kochi Tuskers Kerala",137,4,94,"All","All","All",34.25,8.74468085106383
"Prasanth Parameswaran",2012,"Royal Challengers Bangalore",87,5,60,"All","All","All",17.4,8.7
"Prashant Solanki",2022,"Chennai Super Kings",38,2,36,"All","All","All",19,6.33333333333333
"Prasidh Krishna",2018,"Kolkata Knight Riders",260,10,168,"All","All","All",26,9.28571428571429
"Prasidh Krishna",2019,"Kolkata Knight Riders",377,4,242,"All","All","All",94.25,9.34710743801653
"Prasidh Krishna",2020,"Kolkata Knight Riders",164,4,105,"All","All","All",41,9.37142857142857
"Prasidh Krishna",2021,"Kolkata Knight Riders",351,12,231,"All","All","All",29.25,9.11688311688312
"Prasidh Krishna",2022,"Rajasthan Royals",551,19,399,"All","All","All",29,8.28571428571428
"Praveen Dubey",2020,"Delhi Capitals",72,0,48,"All","All","All",Inf,9
"Praveen Kumar",2008,"Royal Challengers Bangalore",366,11,268,"All","All","All",33.2727272727273,8.19402985074627
"Praveen Kumar",2009,"Royal Challengers Bangalore",394,13,298,"All","All","All",30.3076923076923,7.93288590604027
