"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Rajasthan Royals","Ross Taylor",11,0,6,"All","All","All",Inf,11
"Rajasthan Royals","Rusty Theron",40,1,24,"All","All","All",40,10
"Rajasthan Royals","Samuel Badree",34,0,24,"All","All","All",Inf,8.5
"Rajasthan Royals","Shane Harwood",73,3,60,"All","All","All",24.3333333333333,7.3
"Rajasthan Royals","Shane Warne",1447,57,1194,"All","All","All",25.3859649122807,7.2713567839196
"Rajasthan Royals","Shane Watson",1701,61,1361,"All","All","All",27.8852459016393,7.49889786921381
"Rajasthan Royals","Shaun Tait",635,23,473,"All","All","All",27.6086956521739,8.05496828752643
"Rajasthan Royals","Shivam Dube",49,0,30,"All","All","All",Inf,9.8
"Rajasthan Royals","Shreyas Gopal",1094,41,816,"All","All","All",26.6829268292683,8.04411764705882
"Rajasthan Royals","Shrikant Wagh",16,1,6,"All","All","All",16,16
"Rajasthan Royals","Siddharth Trivedi",1904,65,1506,"All","All","All",29.2923076923077,7.58565737051793
"Rajasthan Royals","Sohail Tanvir",266,22,247,"All","All","All",12.0909090909091,6.46153846153846
"Rajasthan Royals","Sreesanth",163,5,130,"All","All","All",32.6,7.52307692307692
"Rajasthan Royals","Stuart Binny",565,17,450,"All","All","All",33.2352941176471,7.53333333333333
"Rajasthan Royals","Sudhesan Midhun",27,0,12,"All","All","All",Inf,13.5
"Rajasthan Royals","Sumit Narwal",185,5,94,"All","All","All",37,11.8085106382979
"Rajasthan Royals","Tabraiz Shamsi",34,0,24,"All","All","All",Inf,8.5
"Rajasthan Royals","Tim Southee",323,6,228,"All","All","All",53.8333333333333,8.5
"Rajasthan Royals","Tom Curran",208,3,109,"All","All","All",69.3333333333333,11.4495412844037
"Rajasthan Royals","Trent Boult",492,16,372,"All","All","All",30.75,7.93548387096774
"Rajasthan Royals","Tyron Henderson",40,1,36,"All","All","All",40,6.66666666666667
"Rajasthan Royals","Varun Aaron",210,4,120,"All","All","All",52.5,10.5
"Rajasthan Royals","Vikramjeet Malik",88,3,78,"All","All","All",29.3333333333333,6.76923076923077
"Rajasthan Royals","Yashasvi Jaiswal",6,0,1,"All","All","All",Inf,36
"Rajasthan Royals","Yusuf Pathan",719,20,583,"All","All","All",35.95,7.39965694682676
