"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Chennai Super Kings","Lakshmipathy Balaji","Delhi Capitals","New Wanderers Stadium",2,1,3,"All",2,66.6666666666667
"Chennai Super Kings","Lakshmipathy Balaji","Punjab Kings","Kingsmead",2,0,6,"All",Inf,33.3333333333333
"Chennai Super Kings","Lakshmipathy Balaji","Royal Challengers Bangalore","Kingsmead",0,1,1,"All",0,0
"Chennai Super Kings","Lakshmipathy Balaji","Royal Challengers Bangalore","M Chinnaswamy Stadium",0,0,2,"All",NA,0
"Chennai Super Kings","Lakshmipathy Balaji","Royal Challengers Bangalore","MA Chidambaram Stadium",0,1,4,"All",0,0
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Buffalo Park",58,0,37,"All",Inf,156.756756756757
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Dr DY Patil Sports Academy",30,1,32,"All",30,93.75
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",7,1,9,"All",7,77.7777777777778
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Kingsmead",22,1,22,"All",22,100
"Chennai Super Kings","MS Dhoni","Deccan Chargers","MA Chidambaram Stadium",120,4,110,"All",30,109.090909090909
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Rajiv Gandhi International Stadium",37,1,25,"All",37,148
"Chennai Super Kings","MS Dhoni","Deccan Chargers","Vidarbha Cricket Association Stadium",7,1,13,"All",7,53.8461538461538
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",9,1,9,"All",9,100
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Dr DY Patil Sports Academy",21,0,8,"All",Inf,262.5
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Dubai International Cricket Stadium",51,2,45,"All",25.5,113.333333333333
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Feroz Shah Kotla",149,4,137,"All",37.25,108.759124087591
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Kingsmead",5,1,7,"All",5,71.4285714285714
"Chennai Super Kings","MS Dhoni","Delhi Capitals","MA Chidambaram Stadium",250,4,154,"All",62.5,162.337662337662
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Maharashtra Cricket Association Stadium",51,0,22,"All",Inf,231.818181818182
"Chennai Super Kings","MS Dhoni","Delhi Capitals","New Wanderers Stadium",6,1,7,"All",6,85.7142857142857
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",27,1,24,"All",27,112.5
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Sharjah Cricket Stadium",3,1,5,"All",3,60
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Sheikh Zayed Stadium",32,1,15,"All",32,213.333333333333
"Chennai Super Kings","MS Dhoni","Delhi Capitals","Wankhede Stadium",0,1,2,"All",0,0
"Chennai Super Kings","MS Dhoni","Gujarat Titans","Wankhede Stadium",7,1,10,"All",7,70
"Chennai Super Kings","MS Dhoni","Kochi Tuskers Kerala","MA Chidambaram Stadium",9,1,6,"All",9,150
"Chennai Super Kings","MS Dhoni","Kochi Tuskers Kerala","Nehru Stadium",14,0,13,"All",Inf,107.692307692308
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","Dubai International Cricket Stadium",1,1,4,"All",1,25
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","Eden Gardens",184,4,118,"All",46,155.932203389831
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","JSCA International Stadium Complex",22,0,17,"All",Inf,129.411764705882
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","MA Chidambaram Stadium",166,3,133,"All",55.3333333333333,124.812030075188
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","SuperSport Park",40,0,28,"All",Inf,142.857142857143
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","Wankhede Stadium",67,1,46,"All",67,145.652173913043
"Chennai Super Kings","MS Dhoni","Kolkata Knight Riders","Zayed Cricket Stadium",12,2,16,"All",6,75
"Chennai Super Kings","MS Dhoni","Lucknow Super Giants","Brabourne Stadium",16,0,6,"All",Inf,266.666666666667
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Dr DY Patil Sports Academy",50,1,28,"All",50,178.571428571429
