"Batting_Team","Striker","Runs","Dismissed","Balls","Bowling_Team","Stadium","Season","Average","Strike_Rate"
"Mumbai Indians","Vikrant Yeligati",2,1,2,"All","All","All",2,100
"Mumbai Indians","Vinay Kumar",13,2,14,"All","All","All",6.5,92.8571428571429
"Mumbai Indians","Yogesh Takawale",88,3,87,"All","All","All",29.3333333333333,101.149425287356
"Mumbai Indians","Yuvraj Singh",98,4,75,"All","All","All",24.5,130.666666666667
"Mumbai Indians","Zaheer Khan",40,3,31,"All","All","All",13.3333333333333,129.032258064516
"Pune Warriors","Aaron Finch",456,14,336,"All","All","All",32.5714285714286,135.714285714286
"Pune Warriors","Abhishek Jhunjhunwala",10,2,18,"All","All","All",5,55.5555555555556
"Pune Warriors","Abhishek Nayar",66,6,73,"All","All","All",11,90.4109589041096
"Pune Warriors","Ajantha Mendis",2,1,4,"All","All","All",2,50
"Pune Warriors","Alfonso Thomas",20,2,19,"All","All","All",10,105.263157894737
"Pune Warriors","Ali Murtaza",8,1,9,"All","All","All",8,88.8888888888889
"Pune Warriors","Angelo Mathews",299,14,247,"All","All","All",21.3571428571429,121.052631578947
"Pune Warriors","Anustup Majumdar",87,4,76,"All","All","All",21.75,114.473684210526
"Pune Warriors","Ashish Nehra",11,0,12,"All","All","All",Inf,91.6666666666667
"Pune Warriors","Ashok Dinda",11,3,16,"All","All","All",3.66666666666667,68.75
"Pune Warriors","Bhuvneshwar Kumar",93,10,112,"All","All","All",9.3,83.0357142857143
"Pune Warriors","Callum Ferguson",98,6,117,"All","All","All",16.3333333333333,83.7606837606838
"Pune Warriors","Graeme Smith",42,4,51,"All","All","All",10.5,82.3529411764706
"Pune Warriors","Harpreet Singh",20,2,26,"All","All","All",10,76.9230769230769
"Pune Warriors","Ishwar Pandey",0,1,2,"All","All","All",0,0
"Pune Warriors","Jerome Taylor",3,1,3,"All","All","All",3,100
"Pune Warriors","Jesse Ryder",548,23,409,"All","All","All",23.8260869565217,133.98533007335
"Pune Warriors","Kane Richardson",34,2,36,"All","All","All",17,94.4444444444444
"Pune Warriors","Krishnakant Upadhyay",12,0,9,"All","All","All",Inf,133.333333333333
"Pune Warriors","Luke Wright",106,5,60,"All","All","All",21.2,176.666666666667
"Pune Warriors","Mahesh Rawat",5,1,11,"All","All","All",5,45.4545454545455
"Pune Warriors","Manish Pandey",525,22,476,"All","All","All",23.8636363636364,110.294117647059
"Pune Warriors","Marlon Samuels",132,9,141,"All","All","All",14.6666666666667,93.6170212765958
"Pune Warriors","Michael Clarke",98,6,94,"All","All","All",16.3333333333333,104.255319148936
"Pune Warriors","Mitchell Marsh",190,9,155,"All","All","All",21.1111111111111,122.58064516129
"Pune Warriors","Mithun Manhas",247,14,236,"All","All","All",17.6428571428571,104.661016949153
"Pune Warriors","Mohnish Mishra",71,5,64,"All","All","All",14.2,110.9375
"Pune Warriors","Murali Kartik",38,1,36,"All","All","All",38,105.555555555556
"Pune Warriors","Nathan McCullum",26,1,22,"All","All","All",26,118.181818181818
"Pune Warriors","Parvez Rasool",5,1,9,"All","All","All",5,55.5555555555556
"Pune Warriors","Rahul Sharma",37,10,49,"All","All","All",3.7,75.5102040816327
"Pune Warriors","Raiphi Gomez",4,0,1,"All","All","All",Inf,400
"Pune Warriors","Robin Uthappa",1103,41,923,"All","All","All",26.9024390243902,119.501625135428
"Pune Warriors","Ross Taylor",63,5,76,"All","All","All",12.6,82.8947368421053
"Pune Warriors","Sachin Rana",18,1,16,"All","All","All",18,112.5
"Pune Warriors","Shrikant Wagh",2,2,3,"All","All","All",1,66.6666666666667
"Pune Warriors","Sourav Ganguly",318,17,330,"All","All","All",18.7058823529412,96.3636363636364
"Pune Warriors","Steven Smith",521,13,399,"All","All","All",40.0769230769231,130.576441102757
"Pune Warriors","Tim Paine",10,2,26,"All","All","All",5,38.4615384615385
"Pune Warriors","Tirumalasetti Suman",52,5,58,"All","All","All",10.4,89.6551724137931
"Pune Warriors","Udit Birla",7,1,14,"All","All","All",7,50
"Pune Warriors","Wayne Parnell",61,8,73,"All","All","All",7.625,83.5616438356164
"Pune Warriors","Yuvraj Singh",581,22,451,"All","All","All",26.4090909090909,128.824833702883
"Punjab Kings","Aaron Finch",134,8,100,"All","All","All",16.75,134
"Punjab Kings","Abhishek Nayar",106,10,116,"All","All","All",10.6,91.3793103448276
"Punjab Kings","Adam Gilchrist",849,31,667,"All","All","All",27.3870967741935,127.286356821589
"Punjab Kings","Adrian Barath",42,2,42,"All","All","All",21,100
"Punjab Kings","Aiden Markram",146,5,119,"All","All","All",29.2,122.689075630252
"Punjab Kings","Akshdeep Nath",9,1,13,"All","All","All",9,69.2307692307692
"Punjab Kings","Andrew Tye",32,6,40,"All","All","All",5.33333333333333,80
"Punjab Kings","Ankit Rajpoot",11,3,18,"All","All","All",3.66666666666667,61.1111111111111
"Punjab Kings","Anureet Singh",33,4,43,"All","All","All",8.25,76.7441860465116
"Punjab Kings","Arshdeep Singh",23,4,35,"All","All","All",5.75,65.7142857142857
"Punjab Kings","Axar Patel",686,36,542,"All","All","All",19.0555555555556,126.568265682657
"Punjab Kings","Azhar Mahmood",382,18,296,"All","All","All",21.2222222222222,129.054054054054
"Punjab Kings","Barinder Sran",3,1,7,"All","All","All",3,42.8571428571429
"Punjab Kings","Beuran Hendricks",1,1,3,"All","All","All",1,33.3333333333333
"Punjab Kings","Bhanuka Rajapaksa",206,9,129,"All","All","All",22.8888888888889,159.68992248062
"Punjab Kings","Bhargav Bhatt",6,1,7,"All","All","All",6,85.7142857142857
"Punjab Kings","Bipul Sharma",104,4,72,"All","All","All",26,144.444444444444
"Punjab Kings","Brett Lee",56,4,56,"All","All","All",14,100
"Punjab Kings","Cheteshwar Pujara",125,5,124,"All","All","All",25,100.806451612903
"Punjab Kings","Chris Gayle",1339,37,935,"All","All","All",36.1891891891892,143.208556149733
"Punjab Kings","Chris Jordan",61,5,52,"All","All","All",12.2,117.307692307692
"Punjab Kings","David Hussey",695,28,577,"All","All","All",24.8214285714286,120.450606585789
"Punjab Kings","David Miller",1850,54,1333,"All","All","All",34.2592592592593,138.784696174044
"Punjab Kings","Dawid Malan",26,1,26,"All","All","All",26,100
"Punjab Kings","Deepak Hooda",261,11,194,"All","All","All",23.7272727272727,134.536082474227
"Punjab Kings","Dimitri Mascarenhas",19,3,21,"All","All","All",6.33333333333333,90.4761904761905
"Punjab Kings","Dinesh Karthik",282,11,220,"All","All","All",25.6363636363636,128.181818181818
"Punjab Kings","Eoin Morgan",65,4,62,"All","All","All",16.25,104.838709677419
"Punjab Kings","Fabian Allen",6,1,12,"All","All","All",6,50
"Punjab Kings","Farhaan Behardien",14,2,13,"All","All","All",7,107.692307692308
"Punjab Kings","George Bailey",516,20,380,"All","All","All",25.8,135.789473684211
"Punjab Kings","Glenn Maxwell",1294,53,815,"All","All","All",24.4150943396226,158.773006134969
"Punjab Kings","Gurkeerat Singh Mann",342,21,272,"All","All","All",16.2857142857143,125.735294117647
"Punjab Kings","Hardus Viljoen",3,2,7,"All","All","All",1.5,42.8571428571429
"Punjab Kings","Harmeet Singh",18,2,11,"All","All","All",9,163.636363636364
"Punjab Kings","Harpreet Brar",106,3,95,"All","All","All",35.3333333333333,111.578947368421
"Punjab Kings","Hashim Amla",577,13,407,"All","All","All",44.3846153846154,141.769041769042
"Punjab Kings","Irfan Pathan",603,24,460,"All","All","All",25.125,131.086956521739
"Punjab Kings","Ishant Sharma",8,2,12,"All","All","All",4,66.6666666666667
"Punjab Kings","James Faulkner",14,1,13,"All","All","All",14,107.692307692308
"Punjab Kings","James Hopes",221,11,148,"All","All","All",20.0909090909091,149.324324324324
"Punjab Kings","James Neesham",19,2,18,"All","All","All",9.5,105.555555555556
"Punjab Kings","Jhye Richardson",15,2,24,"All","All","All",7.5,62.5
"Punjab Kings","Jitesh Sharma",234,8,143,"All","All","All",29.25,163.636363636364
"Punjab Kings","Jonny Bairstow",253,11,175,"All","All","All",23,144.571428571429
"Punjab Kings","KC Cariappa",15,3,18,"All","All","All",5,83.3333333333333
"Punjab Kings","KL Rahul",2548,45,1823,"All","All","All",56.6222222222222,139.76961053209
"Punjab Kings","Kagiso Rabada",48,5,43,"All","All","All",9.6,111.627906976744
"Punjab Kings","Karan Goel",218,14,231,"All","All","All",15.5714285714286,94.3722943722944
"Punjab Kings","Karanveer Singh",12,1,17,"All","All","All",12,70.5882352941177
"Punjab Kings","Karun Nair",322,15,241,"All","All","All",21.4666666666667,133.609958506224
"Punjab Kings","Krishnappa Gowtham",42,1,27,"All","All","All",42,155.555555555556
"Punjab Kings","Kumar Sangakkara",1009,32,779,"All","All","All",31.53125,129.525032092426
"Punjab Kings","Kyle Abbott",13,1,8,"All","All","All",13,162.5
"Punjab Kings","Lakshmipathy Balaji",1,1,3,"All","All","All",1,33.3333333333333
