"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Dwayne Bravo",2015,"Eden Gardens",39,2,38,"All",19.5,102.631578947368
"Chennai Super Kings","Dwayne Bravo",2015,"JSCA International Stadium Complex",0,1,1,"All",0,0
"Chennai Super Kings","Dwayne Bravo",2015,"M Chinnaswamy Stadium",5,1,4,"All",5,125
"Chennai Super Kings","Dwayne Bravo",2015,"MA Chidambaram Stadium",23,3,21,"All",7.66666666666667,109.52380952381
"Chennai Super Kings","Dwayne Bravo",2015,"Rajiv Gandhi International Stadium",25,0,20,"All",Inf,125
"Chennai Super Kings","Dwayne Bravo",2015,"Sardar Patel Stadium",62,0,36,"All",Inf,172.222222222222
"Chennai Super Kings","Dwayne Bravo",2015,"Shaheed Veer Narayan Singh International Stadium",8,1,8,"All",8,100
"Chennai Super Kings","Dwayne Bravo",2015,"Wankhede Stadium",33,1,20,"All",33,165
"Chennai Super Kings","Dwayne Bravo",2018,"Feroz Shah Kotla",1,1,2,"All",1,50
"Chennai Super Kings","Dwayne Bravo",2018,"M Chinnaswamy Stadium",14,0,7,"All",Inf,200
"Chennai Super Kings","Dwayne Bravo",2018,"MA Chidambaram Stadium",11,0,5,"All",Inf,220
"Chennai Super Kings","Dwayne Bravo",2018,"Maharashtra Cricket Association Stadium",38,1,34,"All",38,111.764705882353
"Chennai Super Kings","Dwayne Bravo",2018,"Punjab Cricket Association IS Bindra Stadium",1,0,1,"All",Inf,100
"Chennai Super Kings","Dwayne Bravo",2018,"Sawai Mansingh Stadium",1,0,1,"All",Inf,100
"Chennai Super Kings","Dwayne Bravo",2018,"Wankhede Stadium",75,2,41,"All",37.5,182.926829268293
"Chennai Super Kings","Dwayne Bravo",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",0,0,1,"All",NA,0
"Chennai Super Kings","Dwayne Bravo",2019,"Feroz Shah Kotla",4,0,3,"All",Inf,133.333333333333
"Chennai Super Kings","Dwayne Bravo",2019,"M Chinnaswamy Stadium",5,1,4,"All",5,125
"Chennai Super Kings","Dwayne Bravo",2019,"MA Chidambaram Stadium",47,2,33,"All",23.5,142.424242424242
"Chennai Super Kings","Dwayne Bravo",2019,"Punjab Cricket Association IS Bindra Stadium",1,0,1,"All",Inf,100
