"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Wankhede Stadium",2018,10,1,6,10,166.666666666667
"Chennai Super Kings","Devon Conway","Delhi Capitals","Dr DY Patil Sports Academy",2022,87,1,49,87,177.551020408163
"Chennai Super Kings","Devon Conway","Gujarat Titans","Wankhede Stadium",2022,5,1,9,5,55.5555555555556
"Chennai Super Kings","Devon Conway","Kolkata Knight Riders","Wankhede Stadium",2022,3,1,8,3,37.5
"Chennai Super Kings","Devon Conway","Mumbai Indians","Wankhede Stadium",2022,0,1,1,0,0
"Chennai Super Kings","Devon Conway","Rajasthan Royals","Brabourne Stadium",2022,16,1,14,16,114.285714285714
"Chennai Super Kings","Devon Conway","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2022,56,1,37,56,151.351351351351
"Chennai Super Kings","Devon Conway","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",2022,85,0,55,Inf,154.545454545455
"Chennai Super Kings","Dhruv Shorey","Mumbai Indians","MA Chidambaram Stadium",2019,5,1,8,5,62.5
"Chennai Super Kings","Dhruv Shorey","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2018,8,1,9,8,88.8888888888889
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Vidarbha Cricket Association Stadium",2010,2,0,3,Inf,66.6666666666667
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","MA Chidambaram Stadium",2010,16,0,13,Inf,123.076923076923
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","MA Chidambaram Stadium",2012,3,1,5,3,60
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","Wankhede Stadium",2011,0,0,1,NA,0
"Chennai Super Kings","Dwaine Pretorius","Lucknow Super Giants","Brabourne Stadium",2022,0,1,1,0,0
"Chennai Super Kings","Dwaine Pretorius","Mumbai Indians","Dr DY Patil Sports Academy",2022,22,1,14,22,157.142857142857
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Brabourne Stadium",2022,8,1,4,8,200
