"Batting_Team","Striker","Bowling_Team","Runs","Dismissed","Balls","Season","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Kedar Jadhav","Delhi Capitals",53,2,55,"All","All",26.5,96.3636363636364
"Chennai Super Kings","Kedar Jadhav","Kolkata Knight Riders",35,1,32,"All","All",35,109.375
"Chennai Super Kings","Kedar Jadhav","Mumbai Indians",88,2,87,"All","All",44,101.149425287356
"Chennai Super Kings","Kedar Jadhav","Punjab Kings",0,1,1,"All","All",0,0
"Chennai Super Kings","Kedar Jadhav","Rajasthan Royals",35,3,32,"All","All",11.6666666666667,109.375
"Chennai Super Kings","Kedar Jadhav","Royal Challengers Bangalore",22,1,28,"All","All",22,78.5714285714286
"Chennai Super Kings","Kedar Jadhav","Sunrisers Hyderabad",15,2,22,"All","All",7.5,68.1818181818182
"Chennai Super Kings","Lakshmipathy Balaji","Deccan Chargers",15,1,10,"All","All",15,150
"Chennai Super Kings","Lakshmipathy Balaji","Delhi Capitals",5,2,11,"All","All",2.5,45.4545454545455
"Chennai Super Kings","Lakshmipathy Balaji","Punjab Kings",2,0,6,"All","All",Inf,33.3333333333333
"Chennai Super Kings","Lakshmipathy Balaji","Royal Challengers Bangalore",0,2,7,"All","All",0,0
