"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Wankhede Stadium",36,0,24,"All",Inf,9
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Dubai International Cricket Stadium",63,1,42,"All",63,9
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Eden Gardens",36,0,24,"All",Inf,9
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","MA Chidambaram Stadium",38,3,30,"All",12.6666666666667,7.6
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Wankhede Stadium",29,4,24,"All",7.25,7.25
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Zayed Cricket Stadium",79,0,48,"All",Inf,9.875
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Arun Jaitley Stadium",37,0,24,"All",Inf,9.25
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Dubai International Cricket Stadium",19,2,24,"All",9.5,4.75
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","MA Chidambaram Stadium",76,2,45,"All",38,10.1333333333333
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Maharashtra Cricket Association Stadium",19,0,13,"All",Inf,8.76923076923077
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Rajiv Gandhi International Stadium",26,3,24,"All",8.66666666666667,6.5
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Sharjah Cricket Stadium",34,0,24,"All",Inf,8.5
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Wankhede Stadium",35,2,36,"All",17.5,5.83333333333333
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Zayed Cricket Stadium",32,2,24,"All",16,8
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Dubai International Cricket Stadium",65,1,42,"All",65,9.28571428571429
"Chennai Super Kings","Deepak Chahar","Punjab Kings","MA Chidambaram Stadium",40,1,24,"All",40,10
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Maharashtra Cricket Association Stadium",30,1,24,"All",30,7.5
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",65,0,42,"All",Inf,9.28571428571429
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Wankhede Stadium",13,4,24,"All",3.25,3.25
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Zayed Cricket Stadium",30,0,18,"All",Inf,10
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","MA Chidambaram Stadium",19,2,24,"All",9.5,4.75
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Maharashtra Cricket Association Stadium",30,2,24,"All",15,7.5
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Sawai Mansingh Stadium",33,2,24,"All",16.5,8.25
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Sharjah Cricket Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Wankhede Stadium",32,0,18,"All",Inf,10.6666666666667
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Zayed Cricket Stadium",18,2,24,"All",9,4.5
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Dubai International Cricket Stadium",41,3,42,"All",13.6666666666667,5.85714285714286
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","M Chinnaswamy Stadium",45,2,36,"All",22.5,7.5
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","MA Chidambaram Stadium",17,0,24,"All",Inf,4.25
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Sharjah Cricket Stadium",35,1,24,"All",35,8.75
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Wankhede Stadium",25,0,12,"All",Inf,12.5
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Arun Jaitley Stadium",21,0,18,"All",Inf,7
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Dubai International Cricket Stadium",59,2,48,"All",29.5,7.375
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","MA Chidambaram Stadium",30,1,24,"All",30,7.5
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",16,1,24,"All",16,4
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",46,4,42,"All",11.5,6.57142857142857
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Sharjah Cricket Stadium",32,0,24,"All",Inf,8
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Wankhede Stadium",56,1,48,"All",56,7
"Chennai Super Kings","Dirk Nannes","Kolkata Knight Riders","MA Chidambaram Stadium",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Dirk Nannes","Mumbai Indians","MA Chidambaram Stadium",18,1,24,"All",18,4.5
"Chennai Super Kings","Dirk Nannes","Pune Warriors","MA Chidambaram Stadium",42,0,24,"All",Inf,10.5
"Chennai Super Kings","Dirk Nannes","Punjab Kings","Punjab Cricket Association Stadium",17,2,23,"All",8.5,4.43478260869565
"Chennai Super Kings","Dirk Nannes","Royal Challengers Bangalore","MA Chidambaram Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Dr DY Patil Sports Academy",13,4,24,"All",3.25,3.25
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,2,13,"All",10,9.23076923076923
