"Bowling_Team","Bowler","Season","Runs","Wickets","Balls","Batting_Team","Stadium","Average","Economy"
"Mumbai Indians","Munaf Patel",2013,137,3,90,"All","All",45.6666666666667,9.13333333333333
"Mumbai Indians","Murugan Ashwin",2022,228,9,174,"All","All",25.3333333333333,7.86206896551724
"Mumbai Indians","Musavir Khote",2008,51,2,30,"All","All",25.5,10.2
"Mumbai Indians","Mustafizur Rahman",2018,230,7,165,"All","All",32.8571428571429,8.36363636363636
"Mumbai Indians","Nathan Coulter-Nile",2013,29,1,24,"All","All",29,7.25
"Mumbai Indians","Nathan Coulter-Nile",2020,206,5,156,"All","All",41.2,7.92307692307692
"Mumbai Indians","Nathan Coulter-Nile",2021,127,7,120,"All","All",18.1428571428571,6.35
"Mumbai Indians","Nitish Rana",2016,3,0,6,"All","All",Inf,3
"Mumbai Indians","Pawan Suyal",2013,21,1,18,"All","All",21,7
"Mumbai Indians","Pawan Suyal",2014,35,1,18,"All","All",35,11.6666666666667
"Mumbai Indians","Pawan Suyal",2015,95,0,60,"All","All",Inf,9.5
"Mumbai Indians","Piyush Chawla",2021,38,1,24,"All","All",38,9.5
"Mumbai Indians","Pradeep Sangwan",2018,19,0,12,"All","All",Inf,9.5
"Mumbai Indians","Pragyan Ojha",2012,220,9,180,"All","All",24.4444444444444,7.33333333333333
"Mumbai Indians","Pragyan Ojha",2013,381,16,314,"All","All",23.8125,7.28025477707006
"Mumbai Indians","Pragyan Ojha",2014,380,4,276,"All","All",95,8.26086956521739
"Mumbai Indians","Pragyan Ojha",2015,23,0,12,"All","All",Inf,11.5
"Mumbai Indians","Praveen Kumar",2014,78,3,72,"All","All",26,6.5
"Mumbai Indians","RP Singh",2012,318,10,246,"All","All",31.8,7.75609756097561
"Mumbai Indians","Rahil Shaikh",2009,11,0,6,"All","All",Inf,11
"Mumbai Indians","Rahul Chahar",2019,308,13,282,"All","All",23.6923076923077,6.5531914893617
"Mumbai Indians","Rahul Chahar",2020,433,15,318,"All","All",28.8666666666667,8.16981132075472
"Mumbai Indians","Rahul Chahar",2021,318,13,258,"All","All",24.4615384615385,7.3953488372093
"Mumbai Indians","Rahul Shukla",2012,31,0,18,"All","All",Inf,10.3333333333333
"Mumbai Indians","Rajagopal Sathish",2010,81,2,48,"All","All",40.5,10.125
"Mumbai Indians","Rajagopal Sathish",2011,41,0,31,"All","All",Inf,7.93548387096774
"Mumbai Indians","Ramandeep Singh",2022,54,6,36,"All","All",9,9
"Mumbai Indians","Rasikh Salam",2019,42,0,24,"All","All",Inf,10.5
"Mumbai Indians","Ray Price",2011,33,0,18,"All","All",Inf,11
"Mumbai Indians","Riley Meredith",2022,236,8,168,"All","All",29.5,8.42857142857143
"Mumbai Indians","Rishi Dhawan",2013,109,2,90,"All","All",54.5,7.26666666666667
"Mumbai Indians","Robin Peterson",2012,70,3,48,"All","All",23.3333333333333,8.75
"Mumbai Indians","Rohan Raje",2008,137,5,98,"All","All",27.4,8.38775510204082
"Mumbai Indians","Rohan Raje",2009,72,1,41,"All","All",72,10.5365853658537
"Mumbai Indians","Rohit Sharma",2011,53,0,24,"All","All",Inf,13.25
"Mumbai Indians","Rohit Sharma",2012,16,0,6,"All","All",Inf,16
"Mumbai Indians","Rohit Sharma",2013,6,0,8,"All","All",Inf,4.5
"Mumbai Indians","Rohit Sharma",2014,26,1,18,"All","All",26,8.66666666666667
"Mumbai Indians","Rohit Sharma",2021,13,0,7,"All","All",Inf,11.1428571428571
"Mumbai Indians","Ryan McLaren",2010,270,4,204,"All","All",67.5,7.94117647058824
"Mumbai Indians","Sachin Tendulkar",2009,58,0,36,"All","All",Inf,9.66666666666667
"Mumbai Indians","Sanath Jayasuriya",2008,159,4,126,"All","All",39.75,7.57142857142857
"Mumbai Indians","Sanath Jayasuriya",2009,163,7,114,"All","All",23.2857142857143,8.57894736842105
"Mumbai Indians","Sanath Jayasuriya",2010,68,2,54,"All","All",34,7.55555555555556
"Mumbai Indians","Sanjay Yadav",2022,23,0,12,"All","All",Inf,11.5
"Mumbai Indians","Shaun Pollock",2008,301,11,276,"All","All",27.3636363636364,6.54347826086956
"Mumbai Indians","Shreyas Gopal",2014,113,6,84,"All","All",18.8333333333333,8.07142857142857
"Mumbai Indians","Shreyas Gopal",2015,23,1,13,"All","All",23,10.6153846153846
"Mumbai Indians","Shreyas Gopal",2016,18,0,18,"All","All",Inf,6
"Mumbai Indians","Siddharth Chitnis",2008,60,2,36,"All","All",30,10
"Mumbai Indians","Stuart Binny",2010,9,0,6,"All","All",Inf,9
"Mumbai Indians","Thisara Perera",2012,27,0,15,"All","All",Inf,10.8
"Mumbai Indians","Tilak Varma",2022,13,0,12,"All","All",Inf,6.5
"Mumbai Indians","Tim Southee",2016,329,9,258,"All","All",36.5555555555556,7.65116279069767
"Mumbai Indians","Tim Southee",2017,96,3,60,"All","All",32,9.6
"Mumbai Indians","Tirumalasetti Suman",2011,50,0,36,"All","All",Inf,8.33333333333333
"Mumbai Indians","Trent Boult",2020,457,25,344,"All","All",18.28,7.97093023255814
"Mumbai Indians","Trent Boult",2021,406,13,308,"All","All",31.2307692307692,7.90909090909091
"Mumbai Indians","Tymal Mills",2022,190,6,102,"All","All",31.6666666666667,11.1764705882353
"Mumbai Indians","Vikrant Yeligati",2008,59,0,30,"All","All",Inf,11.8
"Mumbai Indians","Vinay Kumar",2015,368,7,261,"All","All",52.5714285714286,8.45977011494253
"Mumbai Indians","Vinay Kumar",2016,64,3,54,"All","All",21.3333333333333,7.11111111111111
"Mumbai Indians","Vinay Kumar",2017,31,2,18,"All","All",15.5,10.3333333333333
"Mumbai Indians","Yuzvendra Chahal",2013,34,0,24,"All","All",Inf,8.5
"Mumbai Indians","Zaheer Khan",2009,142,6,126,"All","All",23.6666666666667,6.76190476190476
"Mumbai Indians","Zaheer Khan",2010,376,15,290,"All","All",25.0666666666667,7.77931034482759
"Mumbai Indians","Zaheer Khan",2014,146,5,134,"All","All",29.2,6.53731343283582
"Pune Warriors","Aaron Finch",2013,49,1,24,"All","All",49,12.25
"Pune Warriors","Abhishek Jhunjhunwala",2011,22,0,12,"All","All",Inf,11
"Pune Warriors","Abhishek Nayar",2013,59,2,48,"All","All",29.5,7.375
"Pune Warriors","Ajantha Mendis",2013,78,2,72,"All","All",39,6.5
"Pune Warriors","Alfonso Thomas",2011,297,11,231,"All","All",27,7.71428571428572
"Pune Warriors","Alfonso Thomas",2012,109,3,84,"All","All",36.3333333333333,7.78571428571429
"Pune Warriors","Ali Murtaza",2012,11,0,12,"All","All",Inf,5.5
"Pune Warriors","Ali Murtaza",2013,94,3,60,"All","All",31.3333333333333,9.4
"Pune Warriors","Angelo Mathews",2012,192,7,156,"All","All",27.4285714285714,7.38461538461539
"Pune Warriors","Angelo Mathews",2013,240,5,186,"All","All",48,7.74193548387097
"Pune Warriors","Ashish Nehra",2012,402,11,288,"All","All",36.5454545454545,8.375
"Pune Warriors","Ashok Dinda",2012,169,9,144,"All","All",18.7777777777778,7.04166666666667
"Pune Warriors","Ashok Dinda",2013,465,16,294,"All","All",29.0625,9.48979591836735
"Pune Warriors","Bhuvneshwar Kumar",2011,67,3,66,"All","All",22.3333333333333,6.09090909090909
"Pune Warriors","Bhuvneshwar Kumar",2012,281,8,234,"All","All",35.125,7.2051282051282
"Pune Warriors","Bhuvneshwar Kumar",2013,371,13,342,"All","All",28.5384615384615,6.50877192982456
"Pune Warriors","Ishwar Pandey",2013,50,1,24,"All","All",50,12.5
"Pune Warriors","James Faulkner",2011,9,1,12,"All","All",9,4.5
"Pune Warriors","Jerome Taylor",2011,157,6,117,"All","All",26.1666666666667,8.05128205128205
"Pune Warriors","Jesse Ryder",2011,118,4,92,"All","All",29.5,7.69565217391304
"Pune Warriors","Jesse Ryder",2012,70,1,42,"All","All",70,10
