"Striker","Season","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Bowler","Stadium","Average","Strike_Rate"
"Adam Gilchrist",2013,"Punjab Kings","Chennai Super Kings",9,1,6,0,"All","All",9,150
"Adam Gilchrist",2013,"Punjab Kings","Delhi Capitals",48,2,29,0,"All","All",24,165.51724137931
"Adam Gilchrist",2013,"Punjab Kings","Kolkata Knight Riders",34,2,39,0,"All","All",17,87.1794871794872
"Adam Gilchrist",2013,"Punjab Kings","Mumbai Indians",5,1,7,0,"All","All",5,71.4285714285714
"Adam Gilchrist",2013,"Punjab Kings","Pune Warriors",19,2,13,0,"All","All",9.5,146.153846153846
"Adam Gilchrist",2013,"Punjab Kings","Rajasthan Royals",42,2,34,0,"All","All",21,123.529411764706
"Adam Gilchrist",2013,"Punjab Kings","Royal Challengers Bangalore",85,0,54,0,"All","All",Inf,157.407407407407
"Adam Gilchrist",2013,"Punjab Kings","Sunrisers Hyderabad",52,2,47,0,"All","All",26,110.63829787234
"Adam Milne",2017,"Royal Challengers Bangalore","Mumbai Indians",0,0,1,0,"All","All",NA,0
"Adam Milne",2017,"Royal Challengers Bangalore","Rising Pune Supergiants",7,2,11,0,"All","All",3.5,63.6363636363636
"Adam Milne",2021,"Mumbai Indians","Chennai Super Kings",15,1,15,0,"All","All",15,100
"Adam Milne",2021,"Mumbai Indians","Kolkata Knight Riders",1,0,1,0,"All","All",Inf,100
"Adam Milne",2021,"Mumbai Indians","Royal Challengers Bangalore",0,1,1,0,"All","All",0,0
"Adam Voges",2010,"Rajasthan Royals","Chennai Super Kings",20,1,19,0,"All","All",20,105.263157894737
"Adam Voges",2010,"Rajasthan Royals","Delhi Capitals",15,1,17,0,"All","All",15,88.2352941176471
"Adam Voges",2010,"Rajasthan Royals","Kolkata Knight Riders",45,1,29,0,"All","All",45,155.172413793103
"Adam Voges",2010,"Rajasthan Royals","Mumbai Indians",28,1,27,0,"All","All",28,103.703703703704
"Adam Voges",2010,"Rajasthan Royals","Punjab Kings",45,0,24,0,"All","All",Inf,187.5
"Adam Voges",2010,"Rajasthan Royals","Royal Challengers Bangalore",28,0,27,0,"All","All",Inf,103.703703703704
"Adam Zampa",2016,"Rising Pune Supergiants","Sunrisers Hyderabad",0,1,1,0,"All","All",0,0
"Adam Zampa",2017,"Rising Pune Supergiants","Delhi Capitals",5,1,7,0,"All","All",5,71.4285714285714
"Aditya Dole",2010,"Rajasthan Royals","Deccan Chargers",4,1,4,0,"All","All",4,100
"Aditya Dole",2010,"Rajasthan Royals","Mumbai Indians",30,1,18,0,"All","All",30,166.666666666667
"Aditya Tare",2010,"Mumbai Indians","Delhi Capitals",17,1,10,0,"All","All",17,170
