"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2011,"Ryan McLaren","Royal Challengers Bangalore","Punjab Kings",7,0,3,0,"All",Inf,233.333333333333
"AB de Villiers",2011,"Shadab Jakati","Royal Challengers Bangalore","Chennai Super Kings",30,2,18,0,"All",15,166.666666666667
"AB de Villiers",2011,"Shalabh Srivastava","Royal Challengers Bangalore","Punjab Kings",7,0,5,0,"All",Inf,140
"AB de Villiers",2011,"Sreesanth","Royal Challengers Bangalore","Kochi Tuskers Kerala",10,0,5,0,"All",Inf,200
"AB de Villiers",2011,"Suraj Randiv","Royal Challengers Bangalore","Chennai Super Kings",13,0,12,0,"All",Inf,108.333333333333
"AB de Villiers",2011,"Suresh Raina","Royal Challengers Bangalore","Chennai Super Kings",1,0,1,0,"All",Inf,100
"AB de Villiers",2011,"Tim Southee","Royal Challengers Bangalore","Chennai Super Kings",15,0,5,0,"All",Inf,300
"AB de Villiers",2011,"Umesh Yadav","Royal Challengers Bangalore","Delhi Capitals",5,1,2,1,"All",5,250
"AB de Villiers",2011,"Vinay Kumar","Royal Challengers Bangalore","Kochi Tuskers Kerala",2,0,7,0,"All",Inf,28.5714285714286
"AB de Villiers",2011,"Yuvraj Singh","Royal Challengers Bangalore","Pune Warriors",6,0,6,0,"All",Inf,100
"AB de Villiers",2012,"Ajit Chandila","Royal Challengers Bangalore","Rajasthan Royals",13,0,5,0,"All",Inf,260
"AB de Villiers",2012,"Albie Morkel","Royal Challengers Bangalore","Chennai Super Kings",0,1,1,0,"All",0,0
"AB de Villiers",2012,"Alfonso Thomas","Royal Challengers Bangalore","Pune Warriors",9,0,3,0,"All",Inf,300
"AB de Villiers",2012,"Amit Mishra","Royal Challengers Bangalore","Deccan Chargers",1,1,4,0,"All",1,25
"AB de Villiers",2012,"Anand Rajan","Royal Challengers Bangalore","Deccan Chargers",17,0,7,0,"All",Inf,242.857142857143
"AB de Villiers",2012,"Angelo Mathews","Royal Challengers Bangalore","Pune Warriors",7,0,3,0,"All",Inf,233.333333333333
"AB de Villiers",2012,"Ashish Nehra","Royal Challengers Bangalore","Pune Warriors",18,0,6,0,"All",Inf,300
"AB de Villiers",2012,"Ashish Reddy","Royal Challengers Bangalore","Deccan Chargers",6,0,3,0,"All",Inf,200
"AB de Villiers",2012,"Ashok Dinda","Royal Challengers Bangalore","Pune Warriors",2,0,2,0,"All",Inf,100
"AB de Villiers",2012,"Azhar Mahmood","Royal Challengers Bangalore","Punjab Kings",20,1,16,0,"All",20,125
"AB de Villiers",2012,"Bhuvneshwar Kumar","Royal Challengers Bangalore","Pune Warriors",6,0,4,0,"All",Inf,150
"AB de Villiers",2012,"Brad Hogg","Royal Challengers Bangalore","Rajasthan Royals",10,0,8,0,"All",Inf,125
"AB de Villiers",2012,"Brett Lee","Royal Challengers Bangalore","Kolkata Knight Riders",5,0,3,0,"All",Inf,166.666666666667
"AB de Villiers",2012,"Dale Steyn","Royal Challengers Bangalore","Deccan Chargers",23,0,6,0,"All",Inf,383.333333333333
"AB de Villiers",2012,"David Hussey","Royal Challengers Bangalore","Punjab Kings",2,0,2,0,"All",Inf,100
"AB de Villiers",2012,"Doug Bracewell","Royal Challengers Bangalore","Delhi Capitals",16,0,9,0,"All",Inf,177.777777777778
"AB de Villiers",2012,"Glenn Maxwell","Royal Challengers Bangalore","Delhi Capitals",8,0,6,0,"All",Inf,133.333333333333
"AB de Villiers",2012,"Harbhajan Singh","Royal Challengers Bangalore","Mumbai Indians",9,0,6,0,"All",Inf,150
"AB de Villiers",2012,"Harmeet Singh","Royal Challengers Bangalore","Punjab Kings",22,0,12,0,"All",Inf,183.333333333333
"AB de Villiers",2012,"Irfan Pathan","Royal Challengers Bangalore","Delhi Capitals",19,0,7,0,"All",Inf,271.428571428571
"AB de Villiers",2012,"Jacques Kallis","Royal Challengers Bangalore","Kolkata Knight Riders",1,1,2,0,"All",1,50
