"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2016,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",29,1,21,0,"All",29,138.095238095238
"AB de Villiers",2016,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",0,1,2,0,"All",0,0
"AB de Villiers",2016,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",64,1,35,0,"All",64,182.857142857143
"AB de Villiers",2016,"Royal Challengers Bangalore","Rising Pune Supergiants","M Chinnaswamy Stadium",1,1,3,0,"All",1,33.3333333333333
"AB de Villiers",2016,"Royal Challengers Bangalore","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",83,1,46,0,"All",83,180.434782608696
"AB de Villiers",2016,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",87,2,48,0,"All",43.5,181.25
"AB de Villiers",2016,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",47,1,32,0,"All",47,146.875
"AB de Villiers",2017,"Royal Challengers Bangalore","Gujarat Lions","M Chinnaswamy Stadium",5,1,11,1,"All",Inf,45.4545454545455
"AB de Villiers",2017,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",8,1,6,0,"All",8,133.333333333333
"AB de Villiers",2017,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",10,1,8,0,"All",10,125
"AB de Villiers",2017,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",19,1,21,0,"All",19,90.4761904761905
"AB de Villiers",2017,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",43,1,27,0,"All",43,159.259259259259
"AB de Villiers",2017,"Royal Challengers Bangalore","Punjab Kings","Holkar Cricket Stadium",89,0,46,0,"All",Inf,193.478260869565
"AB de Villiers",2017,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",10,1,6,0,"All",10,166.666666666667
"AB de Villiers",2017,"Royal Challengers Bangalore","Rising Pune Supergiants","M Chinnaswamy Stadium",29,1,30,0,"All",29,96.6666666666667
"AB de Villiers",2017,"Royal Challengers Bangalore","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",3,1,8,0,"All",3,37.5
