"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Chennai Super Kings","Jason Holder","Sawai Mansingh Stadium",20,2,24,"All","All",10,5
"Chennai Super Kings","Joginder Sharma","Brabourne Stadium",23,1,12,"All","All",23,11.5
"Chennai Super Kings","Joginder Sharma","Feroz Shah Kotla",43,1,24,"All","All",43,10.75
"Chennai Super Kings","Joginder Sharma","Kingsmead",22,0,12,"All","All",Inf,11
"Chennai Super Kings","Joginder Sharma","M Chinnaswamy Stadium",27,2,22,"All","All",13.5,7.36363636363636
"Chennai Super Kings","Joginder Sharma","MA Chidambaram Stadium",141,4,84,"All","All",35.25,10.0714285714286
"Chennai Super Kings","Joginder Sharma","Newlands",25,1,24,"All","All",25,6.25
"Chennai Super Kings","Joginder Sharma","Punjab Cricket Association Stadium",47,1,24,"All","All",47,11.75
"Chennai Super Kings","Joginder Sharma","Sardar Patel Stadium",23,0,12,"All","All",Inf,11.5
"Chennai Super Kings","Joginder Sharma","St George's Park",10,1,6,"All","All",10,10
"Chennai Super Kings","Joginder Sharma","Wankhede Stadium",58,1,36,"All","All",58,9.66666666666667
"Chennai Super Kings","John Hastings","JSCA International Stadium Complex",29,1,18,"All","All",29,9.66666666666667
"Chennai Super Kings","Josh Hazlewood","Dubai International Cricket Stadium",169,6,138,"All","All",28.1666666666667,7.34782608695652
"Chennai Super Kings","Josh Hazlewood","Sharjah Cricket Stadium",75,3,60,"All","All",25,7.5
"Chennai Super Kings","Josh Hazlewood","Zayed Cricket Stadium",113,3,72,"All","All",37.6666666666667,9.41666666666667
"Chennai Super Kings","Justin Kemp","Eden Gardens",12,3,18,"All","All",4,4
"Chennai Super Kings","Justin Kemp","Feroz Shah Kotla",14,0,6,"All","All",Inf,14
"Chennai Super Kings","Justin Kemp","Himachal Pradesh Cricket Association Stadium",12,0,6,"All","All",Inf,12
"Chennai Super Kings","Justin Kemp","MA Chidambaram Stadium",16,0,14,"All","All",Inf,6.85714285714286
"Chennai Super Kings","KM Asif","Eden Gardens",32,1,18,"All","All",32,10.6666666666667
"Chennai Super Kings","KM Asif","Maharashtra Cricket Association Stadium",43,2,18,"All","All",21.5,14.3333333333333
"Chennai Super Kings","KM Asif","Zayed Cricket Stadium",18,1,13,"All","All",18,8.30769230769231
"Chennai Super Kings","Karn Sharma","Dubai International Cricket Stadium",106,3,72,"All","All",35.3333333333333,8.83333333333333
"Chennai Super Kings","Karn Sharma","Eden Gardens",11,0,6,"All","All",Inf,11
"Chennai Super Kings","Karn Sharma","Maharashtra Cricket Association Stadium",13,2,9,"All","All",6.5,8.66666666666667
"Chennai Super Kings","Karn Sharma","Rajiv Gandhi International Stadium",63,2,35,"All","All",31.5,10.8
"Chennai Super Kings","Karn Sharma","Sawai Mansingh Stadium",10,0,6,"All","All",Inf,10
"Chennai Super Kings","Karn Sharma","Sharjah Cricket Stadium",34,0,18,"All","All",Inf,11.3333333333333
"Chennai Super Kings","Karn Sharma","Wankhede Stadium",25,1,18,"All","All",25,8.33333333333333
"Chennai Super Kings","Karn Sharma","Zayed Cricket Stadium",25,2,24,"All","All",12.5,6.25
"Chennai Super Kings","Lakshmipathy Balaji","Brabourne Stadium",47,1,24,"All","All",47,11.75
"Chennai Super Kings","Lakshmipathy Balaji","Buffalo Park",18,0,6,"All","All",Inf,18
"Chennai Super Kings","Lakshmipathy Balaji","De Beers Diamond Oval",13,1,18,"All","All",13,4.33333333333333
"Chennai Super Kings","Lakshmipathy Balaji","Dr DY Patil Sports Academy",42,0,24,"All","All",Inf,10.5
"Chennai Super Kings","Lakshmipathy Balaji","Eden Gardens",45,3,38,"All","All",15,7.10526315789474
"Chennai Super Kings","Lakshmipathy Balaji","Feroz Shah Kotla",56,4,42,"All","All",14,8
"Chennai Super Kings","Lakshmipathy Balaji","Kingsmead",106,5,81,"All","All",21.2,7.85185185185185
"Chennai Super Kings","Lakshmipathy Balaji","M Chinnaswamy Stadium",49,1,24,"All","All",49,12.25
"Chennai Super Kings","Lakshmipathy Balaji","MA Chidambaram Stadium",184,7,126,"All","All",26.2857142857143,8.76190476190476
"Chennai Super Kings","Lakshmipathy Balaji","New Wanderers Stadium",42,0,30,"All","All",Inf,8.4
"Chennai Super Kings","Lakshmipathy Balaji","Rajiv Gandhi International Stadium",34,2,24,"All","All",17,8.5
"Chennai Super Kings","Lakshmipathy Balaji","St George's Park",35,2,26,"All","All",17.5,8.07692307692308
"Chennai Super Kings","Lakshmipathy Balaji","SuperSport Park",102,5,63,"All","All",20.4,9.71428571428572
"Chennai Super Kings","Lakshmipathy Balaji","Wankhede Stadium",36,0,36,"All","All",Inf,6
"Chennai Super Kings","Lungi Ngidi","Arun Jaitley Stadium",97,2,48,"All","All",48.5,12.125
"Chennai Super Kings","Lungi Ngidi","Dubai International Cricket Stadium",34,2,24,"All","All",17,8.5
"Chennai Super Kings","Lungi Ngidi","Eden Gardens",36,1,18,"All","All",36,12
"Chennai Super Kings","Lungi Ngidi","Feroz Shah Kotla",14,2,18,"All","All",7,4.66666666666667
"Chennai Super Kings","Lungi Ngidi","Maharashtra Cricket Association Stadium",60,6,72,"All","All",10,5
"Chennai Super Kings","Lungi Ngidi","Sharjah Cricket Stadium",56,1,24,"All","All",56,14
"Chennai Super Kings","Lungi Ngidi","Wankhede Stadium",74,5,72,"All","All",14.8,6.16666666666667
"Chennai Super Kings","Lungi Ngidi","Zayed Cricket Stadium",77,6,48,"All","All",12.8333333333333,9.625
"Chennai Super Kings","Maheesh Theekshana","Dr DY Patil Sports Academy",128,6,96,"All","All",21.3333333333333,8
"Chennai Super Kings","Maheesh Theekshana","Maharashtra Cricket Association Stadium",77,5,72,"All","All",15.4,6.41666666666667
"Chennai Super Kings","Maheesh Theekshana","Wankhede Stadium",56,1,42,"All","All",56,8
"Chennai Super Kings","Makhaya Ntini","Dr DY Patil Sports Academy",21,0,24,"All","All",Inf,5.25
"Chennai Super Kings","Makhaya Ntini","Eden Gardens",21,4,24,"All","All",5.25,5.25
"Chennai Super Kings","Makhaya Ntini","MA Chidambaram Stadium",136,0,96,"All","All",Inf,8.5
"Chennai Super Kings","Makhaya Ntini","Rajiv Gandhi International Stadium",24,1,24,"All","All",24,6
"Chennai Super Kings","Makhaya Ntini","Sawai Mansingh Stadium",17,0,18,"All","All",Inf,5.66666666666667
"Chennai Super Kings","Makhaya Ntini","Wankhede Stadium",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Manpreet Gony","Dr DY Patil Sports Academy",30,1,24,"All","All",30,7.5
"Chennai Super Kings","Manpreet Gony","Eden Gardens",50,1,42,"All","All",50,7.14285714285714
"Chennai Super Kings","Manpreet Gony","Feroz Shah Kotla",36,1,24,"All","All",36,9
"Chennai Super Kings","Manpreet Gony","Kingsmead",74,1,42,"All","All",74,10.5714285714286
"Chennai Super Kings","Manpreet Gony","M Chinnaswamy Stadium",34,3,24,"All","All",11.3333333333333,8.5
"Chennai Super Kings","Manpreet Gony","MA Chidambaram Stadium",252,8,186,"All","All",31.5,8.12903225806452
"Chennai Super Kings","Manpreet Gony","New Wanderers Stadium",23,1,12,"All","All",23,11.5
"Chennai Super Kings","Manpreet Gony","Newlands",32,2,24,"All","All",16,8
"Chennai Super Kings","Manpreet Gony","Punjab Cricket Association Stadium",42,1,24,"All","All",42,10.5
"Chennai Super Kings","Manpreet Gony","Rajiv Gandhi International Stadium",21,1,24,"All","All",21,5.25
"Chennai Super Kings","Manpreet Gony","Sawai Mansingh Stadium",25,0,18,"All","All",Inf,8.33333333333333
"Chennai Super Kings","Manpreet Gony","St George's Park",24,1,18,"All","All",24,8
"Chennai Super Kings","Manpreet Gony","SuperSport Park",19,0,6,"All","All",Inf,19
"Chennai Super Kings","Manpreet Gony","Wankhede Stadium",45,2,42,"All","All",22.5,6.42857142857143
"Chennai Super Kings","Mark Wood","Wankhede Stadium",49,0,24,"All","All",Inf,12.25
"Chennai Super Kings","Matheesha Pathirana","Brabourne Stadium",28,0,22,"All","All",Inf,7.63636363636364
"Chennai Super Kings","Matheesha Pathirana","Wankhede Stadium",24,2,19,"All","All",12,7.57894736842105
"Chennai Super Kings","Mitchell Santner","Brabourne Stadium",15,1,18,"All","All",15,5
"Chennai Super Kings","Mitchell Santner","Dr DY Patil Sports Academy",16,1,18,"All","All",16,5.33333333333333
