Match_Id,Stadium,Toss,POTM,Match_days,Batting.Team,Chasing.Team,Season
501269,Wankhede Stadium,"Mumbai Indians, Bowl",Munaf Patel,"25 May 2011, Night","Gautam Gambhir, Jacques Kallis, Shreevats Goswami, Manoj Tiwary, Yusuf Pathan, Ryan ten Doeschate, Shakib Al Hasan, Rajat Bhatia, Brett Lee, Lakshmipathy Balaji, Iqbal Abdulla","Aiden Blizzard, Sachin Tendulkar, Rohit Sharma, Ambati Rayudu, James Franklin, Kieron Pollard, Tirumalasetti Suman, Harbhajan Singh, Dhawal Kulkarni, Munaf Patel, Lasith Malinga",2011
501270,MA Chidambaram Stadium,"Mumbai Indians, Bowl",Chris Gayle,"27 May 2011, Night","Mayank Agarwal, Chris Gayle, Virat Kohli, AB de Villiers, Luke Pomersbach, Saurabh Tiwary, Daniel Vettori, (c), Sreenath Aravind, Abhimanyu Mithun, Zaheer Khan, Jamaluddin Syed Mohammad","Aiden Blizzard, Sachin Tendulkar, Harbhajan Singh, Rohit Sharma, James Franklin, Ambati Rayudu, Kieron Pollard, Rajagopal Sathish, Lasith Malinga, Abu Nechim, Munaf Patel",2011
501271,MA Chidambaram Stadium,"Chennai Super Kings, Bat",Murali Vijay,"28 May 2011, Night","Michael Hussey, Murali Vijay, MS Dhoni, Suresh Raina, Albie Morkel, S Badrinath, Dwayne Bravo, Wriddhiman Saha, Ravichandran Ashwin, Doug Bollinger, Shadab Jakati","Mayank Agarwal, Chris Gayle, Virat Kohli, AB de Villiers, Luke Pomersbach, Saurabh Tiwary, Daniel Vettori, Abhimanyu Mithun, Zaheer Khan, Jamaluddin Syed Mohammad, Sreenath Aravind",2011
548306,MA Chidambaram Stadium,"Mumbai Indians, Bowl",Richard Levi,"4 April 2012, Night","Faf du Plessis, Murali Vijay, Suresh Raina, Dwayne Bravo, Albie Morkel, S Badrinath, MS Dhoni, Ravindra Jadeja, Ravichandran Ashwin, Shadab Jakati, Doug Bollinger","Richard Levi, Sachin Tendulkar, Rohit Sharma, Ambati Rayudu, James Franklin, Dinesh Karthik, †, Kieron Pollard, Harbhajan Singh, (c), Lasith Malinga, Abu Nechim, Pragyan Ojha",2012
548307,Eden Gardens,"Delhi Capitals, Bowl",Irfan Pathan,"5 April 2012, Night","Brendon McCullum, Jacques Kallis, Gautam Gambhir, Manoj Tiwary, Yusuf Pathan, Debabrata Das, Laxmi Shukla, Rajat Bhatia, Brett Lee, Iqbal Abdulla, Marchant de Lange","Aaron Finch, Virender Sehwag, Irfan Pathan, Glenn Maxwell, Naman Ojha, †, Venugopal Rao, Morne Morkel, Yogesh Nagar, Roelof van der Merwe, Umesh Yadav, Shahbaz Nadeem",2012
548308,Wankhede Stadium,"Mumbai Indians, Bowl",Steven Smith,"6 April 2012, Daynight","Manish Pandey, Sourav Ganguly, Wayne Parnell, Robin Uthappa, Callum Ferguson, Steven Smith, Marlon Samuels, Bhuvneshwar Kumar, Murali Kartik, Rahul Sharma, Ashok Dinda","Richard Levi, Ambati Rayudu, Rohit Sharma, James Franklin, Dinesh Karthik, Suryakumar Yadav, Kieron Pollard, Harbhajan Singh, Lasith Malinga, Pragyan Ojha, Munaf Patel",2012
548309,Sawai Mansingh Stadium,"Punjab Kings, Bowl",Ajinkya Rahane,"6 April 2012, Night","Rahul Dravid, Ajinkya Rahane, Ashok Menaria, Brad Hodge, Owais Shah, Kevon Cooper, Johan Botha, Ankeet Chavan, Shreevats Goswami, †, Amit Singh, Siddharth Trivedi","Adam Gilchrist, Paul Valthaty, Shaun Marsh, Abhishek Nayar, David Hussey, Mandeep Singh, Bipul Sharma, Piyush Chawla, James Faulkner, Praveen Kumar, Harmeet Singh",2012
548310,M Chinnaswamy Stadium,"Delhi Capitals, Bowl",AB de Villiers,"7 April 2012, Daynight","Andrew McDonald, Cheteshwar Pujara, Virat Kohli, AB de Villiers, Saurabh Tiwary, Mayank Agarwal, Daniel Vettori, Vinay Kumar, Harshal Patel, Zaheer Khan, Muthiah Muralidaran","Aaron Finch, Virender Sehwag, Naman Ojha, Venugopal Rao, Glenn Maxwell, Yogesh Nagar, Irfan Pathan, Doug Bracewell, Morne Morkel, Umesh Yadav, Shahbaz Nadeem",2012
548311,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Deccan Chargers, Bowl",Ravindra Jadeja,"7 April 2012, Night","Murali Vijay, Faf du Plessis, Suresh Raina, S Badrinath, Ravindra Jadeja, MS Dhoni, Dwayne Bravo, Albie Morkel, Ravichandran Ashwin, Shadab Jakati, Doug Bollinger","Daniel Harris, Shikhar Dhawan, Parthiv Patel, Cameron White, Bharat Chipli, Dan Christian, Manpreet Gony, Dwaraka Ravi Teja, Ankit Sharma, Dale Steyn, TP Sudhindra",2012
548312,Sawai Mansingh Stadium,"Kolkata Knight Riders, Bowl",Brad Hodge,"8 April 2012, Daynight","Rahul Dravid, Ajinkya Rahane, Shreevats Goswami, Ashok Menaria, Brad Hodge, Owais Shah, Kevon Cooper, Johan Botha, Ankeet Chavan, Amit Singh, Siddharth Trivedi","Jacques Kallis, Brendon McCullum, Gautam Gambhir, Manoj Tiwary, Debabrata Das, Yusuf Pathan, Rajat Bhatia, Laxmi Shukla, Brett Lee, Sunil Narine, Iqbal Abdulla",2012
